TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
4044716 4.54	39.00	86.31	1.44	0.01	0.00	-0.00	0.05	0.08	0.10	-45.56	20.69	1.50	9.83	-0.17	0.67	9.78	-0.25	0.57	
4044795 4.78	39.00	86.31	1.44	-0.02	-0.00	0.00	0.04	-0.18	0.05	-46.25	20.69	1.88	9.83	-0.43	0.62	9.78	-0.25	0.57	
4044875 4.95	39.00	86.31	1.44	-0.01	-0.00	0.01	0.06	-0.11	-0.03	-45.25	21.38	0.69	9.85	-0.36	0.53	9.78	-0.25	0.57	
4044955 5.12	39.00	86.31	1.44	-0.00	0.00	0.00	0.04	0.03	-0.06	-45.88	21.06	1.06	9.83	-0.21	0.50	9.78	-0.25	0.57	
4045035 5.20	39.00	86.31	1.44	0.00	0.00	0.00	0.02	0.08	-0.02	-46.69	20.69	1.88	9.81	-0.16	0.54	9.78	-0.25	0.57	
4045112 5.32	39.00	86.31	1.44	0.01	0.00	-0.00	0.04	0.08	0.10	-45.56	20.69	1.06	9.83	-0.16	0.67	9.78	-0.25	0.57	
4045190 5.39	39.06	86.31	1.44	-0.01	0.00	-0.00	0.03	-0.08	0.03	-45.25	20.25	1.50	9.82	-0.36	0.64	9.78	-0.25	0.57	
4045268 5.39	39.06	86.31	1.44	-0.01	-0.00	0.00	0.01	-0.10	0.13	-46.69	21.06	1.50	9.84	-0.36	0.64	9.78	-0.25	0.57	
4045347 5.36	39.06	86.31	1.44	0.00	-0.00	0.00	0.01	-0.13	-0.04	-45.56	20.69	1.06	9.80	-0.38	0.52	9.78	-0.25	0.57	
4045427 5.42	39.06	86.31	1.44	-0.01	0.00	0.00	0.06	0.06	-0.12	-44.50	21.06	3.19	9.85	-0.19	0.44	9.78	-0.25	0.57	
4045507 5.46	39.06	86.31	1.44	0.00	0.00	0.00	0.03	0.01	0.05	-44.50	20.69	2.38	9.81	-0.23	0.62	9.78	-0.25	0.57	
4045587 5.54	39.06	86.31	1.44	0.00	0.01	-0.00	0.02	-0.09	0.13	-45.25	21.38	3.19	9.81	-0.34	0.70	9.78	-0.25	0.57	
